ID_EQUIPO,PUNTO_MEDICION,CAPACIDAD_MAXIMA_GBS,FECHA_INICIO_MEDICION,FECHA_HORA,FECHA_FIN_MEDICION,PASO,LATENCIA_MS,PORCENTAJE_PACK_LOSS,INBOUND_BITS,OUTBOUND_BITS,MEDIDA
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 03:00:00.000,2020-06-21 19:00:00.000,7200,0.73819,0.0,1132556.9707,9569267.1575,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 05:00:00.000,2020-06-21 19:00:00.000,7200,0.73903,0.0,3424107.2553,11647724.194,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 07:00:00.000,2020-06-21 19:00:00.000,7200,0.67194,0.0,3821768.8142,11922750.886,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 09:00:00.000,2020-06-21 19:00:00.000,7200,0.70202,0.0,7355170.2682,9642337.8875,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 11:00:00.000,2020-06-21 19:00:00.000,7200,0.74206,0.0,6260281.4674,13566650.329000002,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 13:00:00.000,2020-06-21 19:00:00.000,7200,0.7554,0.0,6480962.9153,8341144.096,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 15:00:00.000,2020-06-21 19:00:00.000,7200,0.73935,0.0,7511478.2894,8976821.8575,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 17:00:00.000,2020-06-21 19:00:00.000,7200,0.6248100000000001,0.0,9618898.0253,14582372.702,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 19:00:00.000,2020-06-21 19:00:00.000,7200,0.74188,0.0,7437947.362000001,12720333.152,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 21:00:00.000,2020-06-21 19:00:00.000,7200,0.62755,0.0,4657603.1961,6980845.1677,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 23:00:00.000,2020-06-21 19:00:00.000,7200,0.70625,0.0,6859213.7743,8922381.9504,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 01:00:00.000,2020-06-21 19:00:00.000,7200,0.6471899999999999,0.0,4644473.7388,9640246.2518,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 03:00:00.000,2020-06-21 19:00:00.000,7200,0.64374,0.0,1135944.3703,7428019.0425,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 05:00:00.000,2020-06-21 19:00:00.000,7200,0.71605,0.0,3249437.8638,13095443.202,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-11 07:00:00.000,2020-06-21 19:00:00.000,7200,0.67655,0.0,2148347.1254,15891030.792000001,MB
